       TIME	  CAN_ID	CAN_DATA                                	  1	  2	   3	   4
1.58187e+09	     100	[254, 255, 24, 0, 157, 255, 51, 0]      	 -2	 24	 -99	  51
1.58187e+09	     101	[192, 255, 246, 255, 51, 0, 200, 255]   	-64	-10	  51	 -56
1.58187e+09	     100	[29, 0, 16, 0, 139, 255, 9, 0]          	 29	 16	-117	   9
1.58187e+09	     100	[27, 0, 24, 0, 148, 255, 14, 0]         	 27	 24	-108	  14
1.58187e+09	     101	[210, 255, 8, 0, 41, 0, 194, 255]       	-46	  8	  41	 -62
1.58187e+09	     100	[27, 0, 25, 0, 159, 255, 23, 0]         	 27	 25	 -97	  23
1.58187e+09	     101	[209, 255, 17, 0, 53, 0, 213, 255]      	-47	 17	  53	 -43
1.58187e+09	     100	[29, 0, 21, 0, 169, 255, 32, 0]         	 29	 21	 -87	  32
1.58187e+09	     101	[205, 255, 24, 0, 57, 0, 230, 255]      	-51	 24	  57	 -26
1.58187e+09	     100	[33, 0, 13, 0, 176, 255, 42, 0]         	 33	 13	 -80	  42
1.58187e+09	     101	[202, 255, 24, 0, 61, 0, 245, 255]      	-54	 24	  61	 -11
1.58187e+09	     100	[37, 0, 2, 0, 181, 255, 50, 0]          	 37	  2	 -75	  50
1.58187e+09	     101	[202, 255, 21, 0, 59, 0, 253, 255]      	-54	 21	  59	  -3
1.58187e+09	     100	[38, 0, 251, 255, 182, 255, 56, 0]      	 38	 -5	 -74	  56
1.58187e+09	     101	[205, 255, 13, 0, 54, 0, 253, 255]      	-51	 13	  54	  -3
1.58187e+09	     100	[41, 0, 246, 255, 178, 255, 59, 0]      	 41	-10	 -78	  59
1.58187e+09	     101	[205, 255, 4, 0, 50, 0, 249, 255]       	-51	  4	  50	  -7
1.58187e+09	     100	[42, 0, 246, 255, 174, 255, 60, 0]      	 42	-10	 -82	  60
1.58187e+09	     101	[207, 255, 254, 255, 46, 0, 239, 255]   	-49	 -2	  46	 -17
1.58187e+09	     100	[42, 0, 252, 255, 166, 255, 57, 0]      	 42	 -4	 -90	  57
