       TIME	  CAN_ID	CAN_DATA                             	  1	  2	  3	  4
1.58187e+09	     100	[2, 0, 29, 0, 5, 0, 7, 0]            	  2	 29	  5	  7
1.58187e+09	     101	[1, 0, 4, 0, 7, 0, 18, 0]            	  1	  4	  7	 18
1.58187e+09	     100	[1, 0, 12, 0, 10, 0, 242, 255]       	  1	 12	 10	-14
1.58187e+09	     101	[27, 0, 247, 255, 243, 255, 21, 0]   	 27	 -9	-13	 21
1.58187e+09	     100	[7, 0, 6, 0, 254, 255, 241, 255]     	  7	  6	 -2	-15
1.58187e+09	     101	[21, 0, 239, 255, 250, 255, 15, 0]   	 21	-17	 -6	 15
1.58187e+09	     100	[11, 0, 9, 0, 247, 255, 249, 255]    	 11	  9	 -9	 -7
1.58187e+09	     101	[19, 0, 250, 255, 251, 255, 15, 0]   	 19	 -6	 -5	 15
1.58187e+09	     100	[5, 0, 16, 0, 250, 255, 0, 0]        	  5	 16	 -6	  0
1.58187e+09	     101	[18, 0, 14, 0, 2, 0, 23, 0]          	 18	 14	  2	 23
1.58187e+09	     100	[7, 0, 12, 0, 0, 0, 255, 255]        	  7	 12	  0	 -1
1.58187e+09	     101	[17, 0, 17, 0, 2, 0, 18, 0]          	 17	 17	  2	 18
1.58187e+09	     100	[6, 0, 12, 0, 255, 255, 9, 0]        	  6	 12	 -1	  9
1.58187e+09	     101	[11, 0, 16, 0, 2, 0, 22, 0]          	 11	 16	  2	 22
1.58187e+09	     100	[5, 0, 12, 0, 251, 255, 6, 0]        	  5	 12	 -5	  6
1.58187e+09	     101	[14, 0, 16, 0, 0, 0, 21, 0]          	 14	 16	  0	 21
1.58187e+09	     100	[13, 0, 8, 0, 254, 255, 2, 0]        	 13	  8	 -2	  2
1.58187e+09	     101	[5, 0, 9, 0, 0, 0, 18, 0]            	  5	  9	  0	 18
1.58187e+09	     100	[14, 0, 6, 0, 255, 255, 5, 0]        	 14	  6	 -1	  5
1.58187e+09	     101	[9, 0, 1, 0, 5, 0, 11, 0]            	  9	  1	  5	 11
1.58187e+09	     100	[10, 0, 6, 0, 6, 0, 6, 0]            	 10	  6	  6	  6
1.58187e+09	     101	[5, 0, 8, 0, 2, 0, 11, 0]            	  5	  8	  2	 11
1.58187e+09	     100	[11, 0, 5, 0, 7, 0, 9, 0]            	 11	  5	  7	  9
1.58187e+09	     101	[2, 0, 10, 0, 2, 0, 14, 0]           	  2	 10	  2	 14
1.58187e+09	     100	[11, 0, 9, 0, 6, 0, 5, 0]            	 11	  9	  6	  5
1.58187e+09	     101	[9, 0, 17, 0, 253, 255, 14, 0]       	  9	 17	 -3	 14
1.58187e+09	     100	[14, 0, 9, 0, 3, 0, 3, 0]            	 14	  9	  3	  3
1.58187e+09	     101	[2, 0, 4, 0, 255, 255, 9, 0]         	  2	  4	 -1	  9
1.58187e+09	     100	[10, 0, 6, 0, 3, 0, 7, 0]            	 10	  6	  3	  7
1.58187e+09	     101	[1, 0, 10, 0, 250, 255, 17, 0]       	  1	 10	 -6	 17
1.58187e+09	     100	[13, 0, 6, 0, 9, 0, 13, 0]           	 13	  6	  9	 13
1.58187e+09	     101	[2, 0, 12, 0, 251, 255, 19, 0]       	  2	 12	 -5	 19
1.58187e+09	     100	[14, 0, 9, 0, 7, 0, 7, 0]            	 14	  9	  7	  7
1.58187e+09	     101	[3, 0, 18, 0, 1, 0, 11, 0]           	  3	 18	  1	 11
1.58187e+09	     100	[11, 0, 14, 0, 6, 0, 0, 0]           	 11	 14	  6	  0
1.58187e+09	     101	[2, 0, 25, 0, 3, 0, 17, 0]           	  2	 25	  3	 17
1.58187e+09	     100	[11, 0, 10, 0, 2, 0, 255, 255]       	 11	 10	  2	 -1
1.58187e+09	     101	[2, 0, 22, 0, 1, 0, 15, 0]           	  2	 22	  1	 15
1.58187e+09	     100	[9, 0, 9, 0, 2, 0, 255, 255]         	  9	  9	  2	 -1
1.58187e+09	     101	[11, 0, 24, 0, 11, 0, 13, 0]         	 11	 24	 11	 13
1.58187e+09	     100	[14, 0, 9, 0, 255, 255, 6, 0]        	 14	  9	 -1	  6
1.58187e+09	     101	[11, 0, 24, 0, 9, 0, 14, 0]          	 11	 24	  9	 14
1.58187e+09	     100	[11, 0, 4, 0, 249, 255, 3, 0]        	 11	  4	 -7	  3
1.58187e+09	     101	[21, 0, 26, 0, 1, 0, 18, 0]          	 21	 26	  1	 18
1.58187e+09	     100	[15, 0, 5, 0, 243, 255, 255, 255]    	 15	  5	-13	 -1
1.58187e+09	     101	[23, 0, 17, 0, 1, 0, 15, 0]          	 23	 17	  1	 15
1.58187e+09	     100	[11, 0, 12, 0, 242, 255, 255, 255]   	 11	 12	-14	 -1
1.58187e+09	     101	[23, 0, 16, 0, 251, 255, 19, 0]      	 23	 16	 -5	 19
1.58187e+09	     100	[9, 0, 4, 0, 251, 255, 6, 0]         	  9	  4	 -5	  6
1.58187e+09	     101	[21, 0, 14, 0, 1, 0, 14, 0]          	 21	 14	  1	 14
1.58187e+09	     100	[11, 0, 8, 0, 1, 0, 7, 0]            	 11	  8	  1	  7
1.58187e+09	     101	[22, 0, 16, 0, 254, 255, 17, 0]      	 22	 16	 -2	 17
1.58187e+09	     100	[14, 0, 8, 0, 254, 255, 2, 0]        	 14	  8	 -2	  2
1.58187e+09	     101	[18, 0, 10, 0, 1, 0, 14, 0]          	 18	 10	  1	 14
1.58187e+09	     100	[13, 0, 8, 0, 255, 255, 10, 0]       	 13	  8	 -1	 10
